h3_index,city,service_count,Culture,Education,Financial,Food,Food Retail,Health,Professional Services,Public Services,Public Utilities,Recreation,Religion,Retail,Security,Services,Sports,Tourism,Transportation,lat,lng
8a1f9941304ffff,Pavia,14,0,0,1,3,3,2,0,0,0,0,0,0,0,0,0,1,4,45.18491558034542,9.155006351120434
8a1f9941315ffff,Pavia,9,1,1,0,1,0,2,0,1,2,0,0,1,0,0,0,0,0,45.18647670411512,9.151277335051331
8a1f99413397fff,Pavia,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,45.18180760549218,9.1547177636572
8a1f99413a5ffff,Pavia,5,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,45.19023076799548,9.162141616977138
8a1f99418197fff,Pavia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.18947251124956,9.205801939293718
8a1f9941e847fff,Pavia,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.19596481096363,9.181495645842348
8a1f994133affff,Pavia,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45.18357943304634,9.15709594691733
8a1f9941a91ffff,Pavia,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.17973136116178,9.192713216820405
8a1f99413627fff,Pavia,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.17803869148446,9.151601005116131
8a1f994024a7fff,Pavia,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45.217086537739036,9.165193020259037
8a1f994aca0ffff,Pavia,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45.17050036992445,9.145368527849854
8a1f9941e58ffff,Pavia,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,45.180891651821234,9.169021611242211
8a1f9941ed07fff,Pavia,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.19177717288985,9.166159882722612
8a1f994116c7fff,Pavia,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.194659691818735,9.16808860961951
8a1f99402587fff,Pavia,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45.21842221125278,9.163102592464138
8a1f994156a7fff,Pavia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.21246070961048,9.145386295639456
8a1f994104e7fff,Pavia,6,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,1,45.19429216551013,9.124884891926335
8a1f99410aa7fff,Pavia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45.2062595725785,9.137061700057323
8a1f99413b6ffff,Pavia,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,45.19467460225863,9.160340711267464
8a1f99410247fff,Pavia,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,45.20069292495897,9.14706203160508
8a1f99411087fff,Pavia,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,45.202000571564476,9.160468172152157
8a1f994024e7fff,Pavia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.21752203006614,9.169663035690807
8a1f99411a87fff,Pavia,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,45.20820058192738,9.168795215806346
8a1f994118a7fff,Pavia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.21088668575908,9.156865498603086
8a1f99418407fff,Pavia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45.18459334110699,9.203131314460217
8a1f99411097fff,Pavia,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45.20111479768532,9.159278730934899
8a1f994103a7fff,Pavia,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,45.200931028780666,9.137674865434523
8a1f99410307fff,Pavia,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,45.20270290640832,9.140053014332372
8a1f99413caffff,Pavia,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,45.18428233612526,9.136685828312606
8a1f9941aaa7fff,Pavia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45.17504234029393,9.20389926667079
8a1f994130effff,Pavia,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,45.1831437350434,9.152628201956304
8a1f99413b07fff,Pavia,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45.19335308382466,9.154683005344069
8a1f994116b7fff,Pavia,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45.194449474752545,9.161980310634025
8a1f994112cffff,Pavia,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,45.20063424984971,9.178055658283531
8a1f99413817fff,Pavia,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,45.19159523968483,9.144557691526337
8a1f9941aa37fff,Pavia,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,45.17703937526679,9.204639466162892
